game,opening,x,o,winner,PPO(ppo)_wins,Gumbel-SelfPlay(iter_002_accepted)_wins,draws,PPO(ppo)_ms_per_move,Gumbel-SelfPlay(iter_002_accepted)_ms_per_move
1,"(1,5)",PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),Gumbel-SelfPlay(iter_002_accepted),0,1,0,5.32,97.9
2,"(1,5)",Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),0,2,0,3.45,91.37
3,"(0,3)",PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),1,2,0,2.72,90.44
4,"(0,3)",Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),PPO(ppo),2,2,0,2.38,89.63
5,"(3,8)",PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),Gumbel-SelfPlay(iter_002_accepted),2,3,0,2.31,90.65
6,"(3,8)",Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),2,4,0,2.22,91.41
7,"(3,4)",PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),Gumbel-SelfPlay(iter_002_accepted),2,5,0,2.14,91.37
8,"(3,4)",Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),2,6,0,2.05,91.81
9,"(3,1)",PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),Gumbel-SelfPlay(iter_002_accepted),2,7,0,2.0,91.54
10,"(3,1)",Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),PPO(ppo),3,7,0,1.97,91.89
11,"(1,8)",PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),Gumbel-SelfPlay(iter_002_accepted),3,8,0,1.93,92.24
12,"(1,8)",Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),PPO(ppo),4,8,0,1.92,92.42
13,"(1,4)",PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),5,8,0,1.92,93.28
14,"(1,4)",Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),PPO(ppo),6,8,0,1.91,93.71
15,"(7,6)",PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),Gumbel-SelfPlay(iter_002_accepted),6,9,0,1.88,93.75
16,"(7,6)",Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),PPO(ppo),7,9,0,1.87,93.37
17,"(1,2)",PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),Gumbel-SelfPlay(iter_002_accepted),7,10,0,1.86,93.56
18,"(1,2)",Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),PPO(ppo),8,10,0,1.85,93.52
19,"(8,3)",PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),Gumbel-SelfPlay(iter_002_accepted),8,11,0,1.83,93.63
20,"(8,3)",Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),8,12,0,1.81,94.06
21,"(6,0)",PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),9,12,0,1.8,94.37
22,"(6,0)",Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),PPO(ppo),10,12,0,1.79,94.5
23,"(0,4)",PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),11,12,0,1.78,94.75
24,"(0,4)",Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),11,13,0,1.76,94.74
25,"(0,3)",PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),12,13,0,1.75,94.41
26,"(0,3)",Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),PPO(ppo),13,13,0,1.75,94.18
27,"(1,2)",PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),Gumbel-SelfPlay(iter_002_accepted),13,14,0,1.74,94.39
28,"(1,2)",Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),PPO(ppo),14,14,0,1.74,94.59
29,"(3,0)",PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),Gumbel-SelfPlay(iter_002_accepted),14,15,0,1.73,94.31
30,"(3,0)",Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),PPO(ppo),15,15,0,1.72,93.98
31,"(3,2)",PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),Gumbel-SelfPlay(iter_002_accepted),15,16,0,1.71,93.84
32,"(3,2)",Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),PPO(ppo),16,16,0,1.7,93.52
33,"(7,1)",PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),Draw,16,16,1,1.69,93.32
34,"(7,1)",Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),16,17,1,1.68,93.69
35,"(8,5)",PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),17,17,1,1.68,93.65
36,"(8,5)",Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),17,18,1,1.67,93.55
37,"(0,3)",PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),18,18,1,1.65,93.46
38,"(0,3)",Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),PPO(ppo),19,18,1,1.65,93.2
39,"(7,8)",PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),Gumbel-SelfPlay(iter_002_accepted),19,19,1,1.65,93.27
40,"(7,8)",Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),PPO(ppo),20,19,1,1.65,93.19
41,"(2,7)",PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),21,19,1,1.65,93.23
42,"(2,7)",Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),PPO(ppo),22,19,1,1.65,93.29
43,"(7,6)",PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),Gumbel-SelfPlay(iter_002_accepted),22,20,1,1.65,93.44
44,"(7,6)",Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),PPO(ppo),23,20,1,1.65,93.42
45,"(5,8)",PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),24,20,1,1.64,93.55
46,"(5,8)",Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),PPO(ppo),25,20,1,1.64,93.57
47,"(3,1)",PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),Gumbel-SelfPlay(iter_002_accepted),25,21,1,1.64,93.48
48,"(3,1)",Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),PPO(ppo),26,21,1,1.63,93.55
49,"(6,3)",PPO(ppo),Gumbel-SelfPlay(iter_002_accepted),Gumbel-SelfPlay(iter_002_accepted),26,22,1,1.63,93.48
50,"(6,3)",Gumbel-SelfPlay(iter_002_accepted),PPO(ppo),PPO(ppo),27,22,1,1.63,93.5
