iter,policy_loss,value_loss,entropy,selfplay_win_rate,mean_ep_len,episodes,cumulative_nn_forwards,cumulative_selfplay_positions,cumulative_time_s,win_rate_previous,score_previous,draws_previous,win_rate_random,win_rate_mcts,elo
1,-0.0651576,0.202064,1.93342,0.828947,54.9189,456,32768,32768,18.7072,,,,,,
2,-0.075819,0.109455,1.86097,0.801818,57.0673,550,65536,65536,36.8791,,,,,,
3,-0.0781836,0.0942949,1.83278,0.778626,56.3015,524,98304,98304,55.4282,,,,,,
4,-0.0800936,0.0961601,1.81182,0.812155,55.4107,543,131072,131072,74.2276,,,,,,
5,-0.0833235,0.103322,1.77751,0.836177,55.1809,586,163840,163840,92.9253,,,,,,
6,-0.0839146,0.105814,1.7717,0.837662,54.2565,616,196608,196608,111.539,,,,,,
7,-0.0842969,0.108625,1.74541,0.857835,54.4943,619,229376,229376,130.166,,,,,,
8,-0.0854767,0.103615,1.71698,0.820388,54.11,618,262144,262144,148.852,,,,,,
9,-0.0879073,0.107513,1.69725,0.879675,53.2163,615,294912,294912,167.604,,,,,,
10,-0.0870856,0.109705,1.67072,0.85082,53.2393,610,327680,327680,186.472,,,,,,
11,-0.0885465,0.1117,1.64792,0.842271,52.2382,634,360448,360448,205.325,,,,,,
12,-0.0882808,0.114175,1.62292,0.882261,51.7363,637,393216,393216,224.306,,,,,,
13,-0.087807,0.117815,1.60274,0.895149,51.0125,639,425984,425984,243.253,,,,,,
14,-0.0874981,0.11599,1.57525,0.894488,51.3433,635,458752,458752,262.262,,,,,,
15,-0.0879349,0.115798,1.56277,0.899213,50.8693,635,491520,491520,281.263,,,,,,
16,-0.0869428,0.11924,1.54555,0.874811,50.8974,663,524288,524288,300.287,,,,,,
17,-0.0866417,0.111708,1.53537,0.894081,50.3333,642,557056,557056,319.31,,,,,,
18,-0.0863425,0.113834,1.50932,0.904468,50.547,649,589824,589824,338.257,,,,,,
19,-0.0851336,0.121207,1.49144,0.886503,50.4126,652,622592,622592,357.202,,,,,,
20,-0.0861446,0.117802,1.47563,0.898176,50.0623,658,655360,655360,376.182,,,,,,
21,-0.0853529,0.120184,1.46432,0.905263,50.2256,665,688128,688128,395.113,,,,,,
22,-0.0845762,0.118427,1.45048,0.912773,50.2835,642,720896,720896,414.036,,,,,,
23,-0.0834491,0.121116,1.42898,0.901366,50.0501,659,753664,753664,432.955,,,,,,
24,-0.0838824,0.119156,1.41281,0.903427,49.7539,642,786432,786432,451.917,,,,,,
25,-0.0859873,0.117576,1.39805,0.921598,49.6036,676,819200,819200,470.879,,,,,,
26,-0.0833419,0.123762,1.38467,0.919355,48.9194,682,851968,851968,489.809,,,,,,
27,-0.0849198,0.114871,1.3609,0.904468,49.131,649,884736,884736,508.734,,,,,,
28,-0.0851986,0.123901,1.3511,0.915698,48.6672,688,917504,917504,527.729,,,,,,
29,-0.0842453,0.117129,1.34397,0.922734,48.1263,673,950272,950272,546.829,,,,,,
30,-0.0829303,0.118156,1.3216,0.927192,48.364,673,983040,983040,565.929,,,,,,
31,-0.0829895,0.120308,1.3181,0.924747,48.3155,691,1015808,1015808,585.017,,,,,,
32,-0.0826855,0.117347,1.30842,0.919523,48.7228,671,1048576,1048576,604.105,,,,,,
33,-0.0830604,0.115974,1.29913,0.910714,48.0863,672,1081344,1081344,623.14,,,,,,
34,-0.0833906,0.120126,1.29029,0.898108,48.23,687,1114112,1114112,642.222,,,,,,
35,-0.0827116,0.11295,1.28149,0.900433,47.303,693,1146880,1146880,661.299,,,,,,
36,-0.0811977,0.12262,1.27048,0.910534,47.6263,693,1179648,1179648,680.335,,,,,,
37,-0.0818441,0.116504,1.27252,0.924088,47.6204,685,1212416,1212416,699.416,,,,,,
38,-0.0800084,0.128982,1.26038,0.913295,47.5882,692,1245184,1245184,718.457,,,,,,
39,-0.0824027,0.116319,1.24352,0.90701,47.2618,699,1277952,1277952,737.518,0.5,0.5,0,0.8,0,1500
40,-0.0807126,0.127883,1.23139,0.906977,47.0901,688,1310720,1310720,819.542,,,,,,
41,-0.0812686,0.12666,1.21437,0.884286,47.3329,700,1343488,1343488,837.886,,,,,,
42,-0.0806802,0.117224,1.20964,0.903319,46.6926,693,1376256,1376256,856.459,,,,,,
43,-0.0810056,0.122286,1.20931,0.918195,46.7278,709,1409024,1409024,875.193,,,,,,
44,-0.0803437,0.125916,1.20034,0.926241,46.4099,705,1441792,1441792,893.935,,,,,,
45,-0.0810531,0.12782,1.18722,0.915698,47.0669,688,1474560,1474560,912.813,,,,,,
46,-0.0810601,0.128379,1.1795,0.918688,46.4422,701,1507328,1507328,931.709,,,,,,
47,-0.0811025,0.128523,1.17445,0.929461,46.3831,723,1540096,1540096,950.603,,,,,,
48,-0.0803781,0.125276,1.17168,0.926241,46.5589,705,1572864,1572864,969.498,,,,,,
49,-0.0792188,0.122302,1.15635,0.914205,46.3952,711,1605632,1605632,988.436,,,,,,
50,-0.0792588,0.128036,1.14744,0.927143,46.5414,700,1638400,1638400,1007.39,,,,,,
51,-0.0782176,0.128972,1.13704,0.937053,46.691,699,1671168,1671168,1026.32,,,,,,
52,-0.0792928,0.121575,1.13154,0.942737,46.0922,716,1703936,1703936,1045.25,,,,,,
53,-0.0782094,0.129392,1.11893,0.911429,46.3671,700,1736704,1736704,1064.25,,,,,,
54,-0.0763606,0.128427,1.12375,0.944675,45.935,723,1769472,1769472,1083.24,,,,,,
55,-0.0783991,0.123135,1.1205,0.91404,46.1504,698,1802240,1802240,1102.28,,,,,,
56,-0.0790482,0.12669,1.12034,0.92887,46.1409,717,1835008,1835008,1121.32,,,,,,
57,-0.0794514,0.12668,1.09964,0.922644,46.3347,711,1867776,1867776,1140.31,,,,,,
58,-0.0791635,0.117988,1.10542,0.933622,46.1371,693,1900544,1900544,1159.38,,,,,,
59,-0.0779705,0.123648,1.10669,0.92827,46.9522,711,1933312,1933312,1178.45,,,,,,
60,-0.0777994,0.120295,1.09171,0.916547,46.5151,695,1966080,1966080,1197.22,,,,,,
61,-0.0775968,0.123889,1.09009,0.921429,46.4743,700,1998848,1998848,1215.67,,,,,,
62,-0.0756851,0.122672,1.08434,0.920904,46.6766,708,2031616,2031616,1233.92,,,,,,
63,-0.0773738,0.124825,1.08149,0.922969,46.1036,714,2064384,2064384,1252.1,,,,,,
64,-0.0766618,0.123818,1.07957,0.908046,46.9282,696,2097152,2097152,1270.21,,,,,,
65,-0.0782069,0.1268,1.08303,0.938834,46.1707,703,2129920,2129920,1288.32,,,,,,
66,-0.0754061,0.124349,1.07031,0.909986,46.9325,711,2162688,2162688,1306.39,,,,,,
67,-0.0765356,0.122097,1.054,0.904422,46.2782,701,2195456,2195456,1324.51,,,,,,
68,-0.0778491,0.122615,1.06585,0.920635,46.6825,693,2228224,2228224,1342.6,,,,,,
69,-0.0766099,0.124434,1.06601,0.925926,46.6781,702,2260992,2260992,1360.74,,,,,,
70,-0.0768601,0.120602,1.06301,0.91372,46.8586,707,2293760,2293760,1378.84,,,,,,
71,-0.0759906,0.127135,1.06038,0.925457,46.5176,711,2326528,2326528,1396.84,,,,,,
72,-0.0759979,0.128236,1.05703,0.928264,46.6341,697,2359296,2359296,1414.84,,,,,,
73,-0.0760871,0.129948,1.05982,0.936022,46.2976,719,2392064,2392064,1432.85,,,,,,
74,-0.0756948,0.125065,1.05665,0.935199,46.5331,679,2424832,2424832,1450.89,,,,,,
75,-0.0736775,0.13096,1.05242,0.928962,46.3689,732,2457600,2457600,1468.86,,,,,,
76,-0.0752855,0.123119,1.04841,0.923621,46.1245,707,2490368,2490368,1486.85,,,,,,
77,-0.0745234,0.126485,1.05028,0.922857,46.44,700,2523136,2523136,1504.82,0.6,0.625,1,1,0,1540
78,-0.0740137,0.134141,1.04906,0.932133,45.5983,722,2555904,2555904,1578.92,,,,,,
79,-0.0737863,0.134933,1.05453,0.94197,45.2227,741,2588672,2588672,1596.56,,,,,,
80,-0.0744582,0.124314,1.04157,0.932081,45.7442,692,2621440,2621440,1614.54,,,,,,
81,-0.0738945,0.126753,1.03353,0.917921,46,731,2654208,2654208,1632.78,,,,,,
82,-0.0740565,0.129023,1.03491,0.940426,45.7234,705,2686976,2686976,1651.19,,,,,,
83,-0.0748225,0.127925,1.03859,0.952909,46.0859,722,2719744,2719744,1669.67,,,,,,
84,-0.0743794,0.131573,1.04052,0.937765,46.0537,707,2752512,2752512,1688.27,,,,,,
85,-0.0732803,0.127157,1.03213,0.918455,45.7926,699,2785280,2785280,1706.9,,,,,,
86,-0.0744095,0.130398,1.02339,0.926287,45.879,719,2818048,2818048,1725.59,,,,,,
87,-0.074989,0.12553,1.01329,0.939522,45.9677,711,2850816,2850816,1744.34,,,,,,
88,-0.0750134,0.130462,1.01331,0.919944,46.6348,712,2883584,2883584,1763.17,,,,,,
89,-0.0751161,0.125392,1.01024,0.939351,46.0846,709,2916352,2916352,1782.06,,,,,,
90,-0.0743854,0.125472,1.02155,0.926966,46.3778,712,2949120,2949120,1800.9,,,,,,
91,-0.0742343,0.12534,1.02916,0.926934,47.0501,698,2981888,2981888,1819.75,,,,,,
92,-0.0749791,0.125932,1.02313,0.929825,47.0058,684,3014656,3014656,1838.56,,,,,,
93,-0.0739189,0.129199,1.0133,0.920613,46.6421,718,3047424,3047424,1857.4,,,,,,
94,-0.0746903,0.1235,1.00024,0.915575,46.5633,687,3080192,3080192,1876.25,,,,,,
95,-0.0742009,0.118519,0.975652,0.910663,47.4236,694,3112960,3112960,1895.19,,,,,,
96,-0.0739926,0.1295,0.967379,0.934593,46.9026,688,3145728,3145728,1914.05,,,,,,
97,-0.0740636,0.124329,0.960115,0.919831,46.9789,711,3178496,3178496,1932.89,,,,,,
98,-0.0728974,0.128721,0.953514,0.917986,47.1914,695,3211264,3211264,1951.78,,,,,,
