iter,step,lr,train_policy_loss,train_value_loss,val_policy_loss,val_value_loss,val_total_loss,steps_per_s,elapsed_s
0,500,0.000499692,2.4822,0.652875,2.16131,0.602973,2.2866,62.0269,8.06101
1,1000,0.000498767,2.116,0.473147,2.1151,0.474358,2.00627,63.4946,15.7494
2,1500,0.00049723,2.0695,0.314708,2.06937,0.3432,1.72109,64.0381,23.4235
3,2000,0.000495083,2.04396,0.235668,2.05083,0.274454,1.57432,64.323,31.0931
4,2500,0.000492333,2.03114,0.191803,2.0465,0.260658,1.54456,64.485,38.7687
5,3000,0.000488988,2.01838,0.165703,2.02533,0.24121,1.49508,64.5582,46.4697
6,3500,0.000485056,2.01247,0.148738,2.03818,0.230629,1.48035,64.5584,54.2145
7,4000,0.000480548,2.00483,0.136697,2.03532,0.229189,1.47604,64.472,62.0425
8,4500,0.000475476,1.99997,0.127114,2.02873,0.199291,1.41295,64.3669,69.9117
9,5000,0.000469856,1.99576,0.120842,2.02098,0.203035,1.41656,64.2737,77.7923
10,5500,0.000463701,1.99203,0.113705,2.02588,0.204111,1.42116,64.2026,85.6663
11,6000,0.000457029,1.99113,0.105846,2.01402,0.190876,1.38876,64.1542,93.5246
12,6500,0.000449858,1.98422,0.0960335,2.02003,0.18155,1.37311,64.0985,101.406
13,7000,0.000442208,1.98097,0.0904767,2.01127,0.176215,1.35806,64.0611,109.271
14,7500,0.000434099,1.97959,0.086558,2.00758,0.180969,1.36573,64.0414,117.112
15,8000,0.000425554,1.97819,0.0841586,2.01504,0.182111,1.37174,64.0251,124.951
16,8500,0.000416597,1.97469,0.0812789,2.00576,0.175002,1.35288,64.0202,132.771
17,9000,0.000407252,1.9776,0.0789175,2.01729,0.189026,1.38669,64.0205,140.58
18,9500,0.000397544,1.97096,0.0771028,2.01553,0.171635,1.35104,64.0269,148.375
19,10000,0.0003875,1.97214,0.0726477,2.00704,0.172216,1.34795,64.024,156.192
20,10500,0.000377148,1.96925,0.0701621,2.00682,0.15655,1.31651,64.0271,163.993
21,11000,0.000366516,1.96571,0.067041,2.01711,0.171299,1.35115,64.0239,171.811
22,11500,0.000355633,1.96485,0.0658462,2.02053,0.183907,1.37808,64.0319,179.598
23,12000,0.000344529,1.9658,0.0665997,2.0178,0.164595,1.33809,64.0414,187.379
24,12500,0.000333234,1.95733,0.0618974,2.01864,0.174149,1.35762,64.047,195.169
25,13000,0.00032178,1.9572,0.0601204,2.0214,0.177824,1.36635,64.0499,202.967
26,13500,0.000310198,1.95727,0.0592872,2.02913,0.16341,1.34138,64.0563,210.752
27,14000,0.000298519,1.95514,0.0573869,2.02548,0.167326,1.34739,64.0592,218.548
28,14500,0.000286776,1.95204,0.0565125,2.01991,0.150626,1.31121,64.0604,226.349
29,15000,0.000275,1.95368,0.0564028,2.02163,0.165711,1.34224,64.063,234.145
30,15500,0.000263224,1.94729,0.0542665,2.01285,0.162763,1.33195,64.0676,241.932
31,16000,0.000251481,1.94841,0.0526023,2.01197,0.154284,1.31455,64.0659,249.743
32,16500,0.000239802,1.94806,0.0531108,2.02812,0.160495,1.33505,64.0683,257.538
33,17000,0.00022822,1.94447,0.0508005,2.01448,0.154357,1.31596,64.0724,265.325
34,17500,0.000216766,1.94315,0.0511726,2.02849,0.159855,1.33396,64.0742,273.121
35,18000,0.000205471,1.93872,0.048825,2.00261,0.160905,1.32311,64.0718,280.935
36,18500,0.000194367,1.93819,0.0495031,2.01089,0.148295,1.30204,64.0711,288.742
37,19000,0.000183484,1.94259,0.049555,2.02253,0.165208,1.34168,64.0715,296.544
38,19500,0.000172852,1.93592,0.0492414,2.01514,0.154195,1.31596,64.0716,304.347
39,20000,0.0001625,1.93715,0.0472073,2.01036,0.156939,1.31906,64.0713,312.152
40,20500,0.000152456,1.93411,0.0456316,1.99985,0.150243,1.30041,64.0759,319.933
41,21000,0.000142748,1.93186,0.0462069,2.0132,0.14818,1.30296,64.0869,327.68
42,21500,0.000133403,1.93201,0.0461691,2.03097,0.15015,1.31579,64.0988,335.42
43,22000,0.000124446,1.93061,0.0463898,2.01447,0.143872,1.29498,64.1092,343.164
44,22500,0.000115901,1.93091,0.0465755,2.02448,0.160582,1.33341,64.1185,350.913
45,23000,0.000107792,1.92533,0.044811,2.03147,0.155044,1.32582,64.1326,358.632
46,23500,0.000100142,1.92503,0.044267,2.01609,0.14581,1.29966,64.1405,366.383
47,24000,9.29712e-05,1.92019,0.0438317,2.00247,0.157261,1.31576,64.1403,374.18
48,24500,8.62991e-05,1.92279,0.0445708,2.01516,0.154722,1.31702,64.1417,381.967
49,25000,8.01443e-05,1.92092,0.0437338,2.00225,0.162125,1.32538,64.143,389.754
