iter,step,lr,train_policy_loss,train_value_loss,val_policy_loss,val_value_loss,val_total_loss,steps_per_s,elapsed_s
0,500,0.000499692,2.47996,0.67945,2.14605,0.640554,2.35413,59.165,8.45094
1,1000,0.000498767,2.10586,0.548385,2.10091,0.507011,2.06447,60.6162,16.4972
2,1500,0.00049723,2.06461,0.37717,2.06057,0.388725,1.80773,60.6416,24.7355
3,2000,0.000495083,2.04134,0.271723,2.04375,0.306858,1.63559,60.5639,33.023
4,2500,0.000492333,2.03009,0.212131,2.04388,0.265122,1.55218,60.5018,41.3211
5,3000,0.000488988,2.01795,0.17483,2.02489,0.25209,1.51662,60.3232,49.7321
6,3500,0.000485056,2.01288,0.152263,2.03849,0.233207,1.48566,60.097,58.2392
7,4000,0.000480548,2.00608,0.13476,2.0285,0.224514,1.46328,59.9063,66.7709
8,4500,0.000475476,2.00114,0.123391,2.02994,0.219148,1.45326,59.7635,75.2968
9,5000,0.000469856,1.99817,0.114767,2.0196,0.217292,1.44438,59.6103,83.8781
10,5500,0.000463701,1.99539,0.107129,2.02391,0.20932,1.4306,59.4618,92.4963
11,6000,0.000457029,1.99484,0.102725,2.01437,0.184523,1.37623,59.3137,101.157
12,6500,0.000449858,1.98846,0.0943274,2.02316,0.201963,1.41551,59.1797,109.835
13,7000,0.000442208,1.98581,0.0903846,2.01176,0.169906,1.34569,59.0714,118.501
14,7500,0.000434099,1.98433,0.0873369,2.0134,0.173899,1.3545,58.9707,127.182
15,8000,0.000425554,1.98292,0.0864397,2.0117,0.177673,1.3612,58.8508,135.937
16,8500,0.000416597,1.97928,0.080466,2.00321,0.17964,1.36089,58.7366,144.714
17,9000,0.000407252,1.98113,0.0761986,2.01554,0.183,1.37377,58.6251,153.518
18,9500,0.000397544,1.9743,0.0764715,2.01227,0.175552,1.35724,58.526,162.321
19,10000,0.0003875,1.97599,0.0716926,2.00707,0.168219,1.33997,58.4567,171.067
20,10500,0.000377148,1.97355,0.0711449,2.00652,0.160495,1.32425,58.4026,179.786
21,11000,0.000366516,1.97018,0.0690301,2.01619,0.166716,1.34153,58.3509,188.515
22,11500,0.000355633,1.96871,0.0654345,2.01863,0.163394,1.33611,58.3016,197.25
23,12000,0.000344529,1.96949,0.0669325,2.01261,0.174225,1.35475,58.2308,206.077
24,12500,0.000333234,1.96223,0.0638023,2.02046,0.191847,1.39392,58.1894,214.816
25,13000,0.00032178,1.96201,0.0614707,2.01955,0.167993,1.34576,58.1164,223.689
26,13500,0.000310198,1.96098,0.0586597,2.0301,0.174244,1.36354,58.0099,232.719
27,14000,0.000298519,1.95996,0.0587394,2.0267,0.175,1.36335,57.9518,241.58
28,14500,0.000286776,1.95642,0.056838,2.01932,0.144654,1.29897,57.8957,250.451
29,15000,0.000275,1.95726,0.0558561,2.02097,0.168689,1.34786,57.8356,259.356
30,15500,0.000263224,1.95129,0.0552383,2.01288,0.162775,1.33199,57.7764,268.276
31,16000,0.000251481,1.95301,0.0538409,2.00949,0.161274,1.32729,57.7144,277.227
32,16500,0.000239802,1.95288,0.0541341,2.02838,0.157582,1.32935,57.6488,286.216
33,17000,0.00022822,1.95015,0.052764,2.01279,0.147109,1.30062,57.5963,295.158
34,17500,0.000216766,1.94792,0.051609,2.02979,0.164179,1.34325,57.5436,304.117
35,18000,0.000205471,1.9446,0.0493247,2.00513,0.174224,1.35102,57.4889,313.104
36,18500,0.000194367,1.94306,0.0497043,2.00964,0.151805,1.30843,57.4415,322.067
37,19000,0.000183484,1.94679,0.0494861,2.02883,0.155958,1.32633,57.3585,331.25
38,19500,0.000172852,1.94014,0.0489803,2.01705,0.156551,1.32163,57.3229,340.178
39,20000,0.0001625,1.94111,0.047504,2.01168,0.161166,1.32817,57.3244,348.892
40,20500,0.000152456,1.9379,0.0463858,2.00379,0.155672,1.31324,57.3508,357.449
41,21000,0.000142748,1.93616,0.0470532,2.01534,0.150922,1.30952,57.3917,365.907
42,21500,0.000133403,1.93836,0.0469358,2.0368,0.156717,1.33183,57.4482,374.25
43,22000,0.000124446,1.93562,0.0460586,2.01547,0.148434,1.3046,57.5053,382.573
44,22500,0.000115901,1.93525,0.0467739,2.02764,0.166059,1.34594,57.5697,390.831
45,23000,0.000107792,1.92953,0.0448894,2.03922,0.157323,1.33426,57.6387,399.037
46,23500,0.000100142,1.92915,0.0444287,2.02034,0.156214,1.3226,57.7003,407.277
47,24000,9.29712e-05,1.92415,0.0441946,2.00707,0.157769,1.31907,57.7335,415.704
48,24500,8.62991e-05,1.92694,0.0444471,2.01877,0.157425,1.32423,57.7766,424.047
49,25000,8.01443e-05,1.9246,0.0439129,2.00791,0.159146,1.32225,57.8239,432.347
50,25500,7.45235e-05,1.92732,0.0444174,2.01365,0.162286,1.3314,57.8722,440.626
51,26000,6.94523e-05,1.926,0.0437245,2.03339,0.162629,1.34195,57.9412,448.731
52,26500,6.49444e-05,1.92672,0.0445522,2.00449,0.160154,1.32255,58.0012,456.887
53,27000,6.10123e-05,1.92438,0.0432634,2.02528,0.160854,1.33435,58.0512,465.107
54,27500,5.76667e-05,1.92306,0.0435308,2.02024,0.166357,1.34283,58.1066,473.268
55,28000,5.49168e-05,1.92164,0.0426948,2.03361,0.166347,1.3495,58.1576,481.451
56,28500,5.27701e-05,1.92065,0.045174,2.01459,0.155456,1.31821,58.2131,489.58
57,29000,5.12326e-05,1.9197,0.0440351,2.01179,0.161302,1.3285,58.2531,497.828
58,29500,5.03084e-05,1.92273,0.0429987,2.02728,0.153421,1.32048,58.2819,506.161
59,30000,5e-05,1.91979,0.0441123,2.01901,0.173332,1.35617,58.3221,514.385
