iter,step,lr,train_policy_loss,train_value_loss,val_policy_loss,val_value_loss,val_total_loss,steps_per_s,elapsed_s
0,500,0.000499692,2.01155,0.729528,1.99083,0.695297,2.38601,11.4577,43.6388
1,1000,0.000498767,2.00349,0.684776,2.00975,0.687281,2.37944,11.4301,87.4886
2,1500,0.00049723,2.00126,0.670758,1.9933,0.667169,2.33099,11.4084,131.482
3,2000,0.000495083,1.99923,0.656869,1.99306,0.668727,2.33399,11.3971,175.484
4,2500,0.000492333,2.00117,0.654148,1.99924,0.668725,2.33707,11.3905,219.482
5,3000,0.000488988,1.99973,0.640248,1.98808,0.655212,2.30447,11.3897,263.397
6,3500,0.000485056,2.00101,0.625978,2.00412,0.609402,2.22086,11.3853,307.413
7,4000,0.000480548,2.00082,0.598601,1.99835,0.597533,2.19424,11.3821,351.428
8,4500,0.000475476,2.00103,0.567575,2.0003,0.621864,2.24388,11.3804,395.417
9,5000,0.000469856,2.00192,0.532802,1.99327,0.546873,2.09038,11.3667,439.883
10,5500,0.000463701,2.00255,0.500426,1.99951,0.529272,2.0583,11.3443,484.823
11,6000,0.000457029,2.0044,0.467293,1.99458,0.506557,2.0104,11.327,529.71
12,6500,0.000449858,2.00212,0.442045,1.99915,0.496856,1.99328,11.3155,574.434
13,7000,0.000442208,2.00144,0.409803,1.99065,0.442357,1.88004,11.3078,619.041
14,7500,0.000434099,2.00223,0.391113,1.98883,0.449876,1.89417,11.3035,663.51
15,8000,0.000425554,2.00377,0.362768,1.99231,0.410386,1.81693,11.2981,708.082
16,8500,0.000416597,2.00062,0.337698,1.9834,0.417706,1.82712,11.2957,752.5
17,9000,0.000407252,2.00464,0.315151,1.99596,0.386726,1.77143,11.2916,797.053
18,9500,0.000397544,2.0009,0.286931,1.99345,0.374302,1.74533,11.2874,841.646
19,10000,0.0003875,2.00388,0.264714,1.98553,0.351488,1.69574,11.2831,886.278
20,10500,0.000377148,2.00362,0.238685,1.99003,0.35178,1.69858,11.2793,930.913
21,11000,0.000366516,2.00156,0.218991,1.99577,0.350608,1.6991,11.2759,975.533
22,11500,0.000355633,2.00221,0.201126,1.99669,0.312944,1.62423,11.2715,1020.28
23,12000,0.000344529,2.00494,0.183929,1.99281,0.321566,1.63954,11.2694,1064.83
24,12500,0.000333234,1.99895,0.161475,1.99927,0.310745,1.62112,11.2697,1109.17
25,13000,0.00032178,2.00042,0.151134,2.00083,0.312014,1.62444,11.2694,1153.56
26,13500,0.000310198,2.00152,0.137009,2.00923,0.289653,1.58392,11.2696,1197.91
27,14000,0.000298519,2.00083,0.125746,2.00791,0.301148,1.60625,11.2677,1242.49
28,14500,0.000286776,1.99929,0.113003,2.00049,0.289885,1.58001,11.2676,1286.88
