iter,step,lr,train_policy_loss,train_value_loss,val_policy_loss,val_value_loss,val_total_loss,steps_per_s,elapsed_s
0,500,0.000499692,2.02712,0.733964,1.99285,0.68178,2.35998,10.6985,46.7356
1,1000,0.000498767,2.00948,0.687796,2.01198,0.684591,2.37517,10.6051,94.2944
2,1500,0.00049723,2.00526,0.671931,1.99507,0.666135,2.3298,10.5638,141.994
3,2000,0.000495083,2.00245,0.656141,1.99332,0.651094,2.29885,10.5338,189.865
4,2500,0.000492333,2.00384,0.654797,1.9989,0.66738,2.33421,10.5158,237.738
5,3000,0.000488988,2.00191,0.63971,1.98783,0.657244,2.3084,10.5051,285.575
6,3500,0.000485056,2.00293,0.628576,2.0042,0.604652,2.2114,10.4968,333.434
7,4000,0.000480548,2.00273,0.605055,1.99753,0.587185,2.17313,10.49,381.317
8,4500,0.000475476,2.003,0.575843,1.99915,0.603907,2.20739,10.4838,429.233
9,5000,0.000469856,2.00345,0.55105,1.99373,0.537359,2.07158,10.481,477.052
10,5500,0.000463701,2.00521,0.525112,1.99911,0.537061,2.07367,10.4786,524.877
11,6000,0.000457029,2.00699,0.497807,1.99468,0.498872,1.99508,10.4753,572.774
12,6500,0.000449858,2.00459,0.474925,1.99839,0.481603,1.9624,10.4726,620.666
13,7000,0.000442208,2.00372,0.452525,1.98962,0.459514,1.91384,10.4708,668.528
14,7500,0.000434099,2.00442,0.437291,1.98829,0.45046,1.89506,10.4695,716.369
15,8000,0.000425554,2.006,0.42094,1.99223,0.407726,1.81157,10.4688,764.178
16,8500,0.000416597,2.00297,0.406281,1.98323,0.400156,1.79193,10.4678,812.011
17,9000,0.000407252,2.00705,0.390697,1.99507,0.402132,1.8018,10.4675,859.806
18,9500,0.000397544,2.00313,0.376698,1.99343,0.38774,1.7722,10.467,907.615
19,10000,0.0003875,2.00626,0.365895,1.98541,0.375185,1.74307,10.4672,955.367
20,10500,0.000377148,2.00592,0.351539,1.98975,0.347611,1.69009,10.4655,1003.3
21,11000,0.000366516,2.00389,0.340137,1.99561,0.348659,1.69512,10.4649,1051.13
22,11500,0.000355633,2.00477,0.330474,1.99578,0.330932,1.65975,10.4642,1098.98
23,12000,0.000344529,2.00715,0.320512,1.99299,0.346746,1.68999,10.4634,1146.85
24,12500,0.000333234,2.00135,0.305655,1.99937,0.323789,1.64726,10.4634,1194.64
25,13000,0.00032178,2.00287,0.299301,2.00048,0.316714,1.63367,10.4631,1242.46
26,13500,0.000310198,2.00391,0.289591,2.00878,0.298107,1.6006,10.4629,1290.27
27,14000,0.000298519,2.00286,0.273573,2.00787,0.291444,1.58682,10.4627,1338.09
28,14500,0.000286776,2.00145,0.267154,2.00004,0.286456,1.57293,10.4626,1385.89
29,15000,0.000275,2.00515,0.259237,2.00093,0.29599,1.59245,10.462,1433.76
30,15500,0.000263224,2.00103,0.244507,1.99182,0.289053,1.57401,10.4619,1481.57
31,16000,0.000251481,2.0039,0.239213,1.99272,0.269122,1.5346,10.4622,1529.31
32,16500,0.000239802,2.00514,0.228919,2.00578,0.262277,1.52744,10.462,1577.14
33,17000,0.00022822,2.0039,0.221538,1.99104,0.253577,1.50268,10.4622,1624.9
34,17500,0.000216766,2.00136,0.213818,2.00552,0.241474,1.48571,10.4621,1672.7
35,18000,0.000205471,2.00012,0.205232,1.98138,0.242004,1.4747,10.462,1720.52
36,18500,0.000194367,2.00169,0.198709,1.99193,0.236628,1.46922,10.4611,1768.45
37,19000,0.000183484,2.00634,0.193786,2.00427,0.228779,1.45969,10.4606,1816.34
38,19500,0.000172852,2.00135,0.18613,1.99546,0.216068,1.42986,10.4512,1865.81
39,20000,0.0001625,2.00459,0.180192,1.98943,0.215985,1.42669,10.4368,1916.3
40,20500,0.000152456,2.0024,0.172866,1.9817,0.197655,1.38616,10.4215,1967.09
41,21000,0.000142748,2.00184,0.168203,1.9933,0.210732,1.41811,10.4058,2018.11
42,21500,0.000133403,2.00378,0.162498,2.01243,0.213602,1.43342,10.3901,2069.27
43,22000,0.000124446,2.00373,0.158734,1.99249,0.18947,1.37518,10.3733,2120.83
44,22500,0.000115901,2.00479,0.153818,2.00409,0.207712,1.41747,10.3564,2172.56
45,23000,0.000107792,2.00164,0.148286,2.01256,0.191465,1.38921,10.3389,2224.6
46,23500,0.000100142,2.00172,0.145259,1.99507,0.177697,1.35293,10.3224,2276.6
47,24000,9.29712e-05,1.99769,0.140737,1.98275,0.180691,1.35276,10.3061,2328.71
48,24500,8.62991e-05,2.00161,0.139714,1.99633,0.192853,1.38387,10.292,2380.48
49,25000,8.01443e-05,2.00016,0.135954,1.98725,0.191584,1.37679,10.2776,2432.47
50,25500,7.45235e-05,2.00294,0.133526,1.99074,0.186745,1.36886,10.2641,2484.38
51,26000,6.94523e-05,2.00354,0.129833,2.01337,0.181879,1.37044,10.2507,2536.4
52,26500,6.49444e-05,2.00411,0.128245,1.9862,0.182106,1.35731,10.2384,2588.3
53,27000,6.10123e-05,2.00247,0.124131,2.00435,0.182635,1.36744,10.2268,2640.13
54,27500,5.76667e-05,2.00259,0.1218,1.99672,0.172319,1.343,10.2162,2691.81
55,28000,5.49168e-05,2.00221,0.120885,2.0072,0.187952,1.3795,10.206,2743.49
56,28500,5.27701e-05,2.0025,0.121567,1.98778,0.179193,1.35228,10.1961,2795.2
57,29000,5.12326e-05,2.00123,0.119108,1.98549,0.175546,1.34384,10.1865,2846.92
58,29500,5.03084e-05,2.00485,0.115916,1.99817,0.166559,1.3322,10.1772,2898.64
59,30000,5e-05,2.00288,0.117494,1.9958,0.179545,1.35699,10.1677,2950.51
