game,opening,x,o,winner,AZ-SelfPlay(cnn_c128b3_100k_reg_best)_wins,Gumbel-SelfPlay(cnn_c128b3_100k_reg_best)_wins,draws,AZ-SelfPlay(cnn_c128b3_100k_reg_best)_ms_per_move,Gumbel-SelfPlay(cnn_c128b3_100k_reg_best)_ms_per_move
1,"(1,5)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),1,0,0,11.22,91.04
2,"(1,5)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),1,1,0,9.04,87.97
3,"(0,3)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),1,2,0,7.85,84.41
4,"(0,3)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),1,3,0,7.52,85.05
5,"(3,8)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),1,4,0,7.09,85.4
6,"(3,8)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),2,4,0,6.88,84.42
7,"(3,4)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),2,5,0,6.69,84.63
8,"(3,4)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),2,6,0,6.68,84.81
9,"(3,1)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),2,7,0,6.68,85.01
10,"(3,1)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),2,8,0,6.73,85.11
11,"(1,8)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),2,9,0,6.75,85.09
12,"(1,8)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),2,10,0,6.78,84.97
13,"(1,4)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),2,11,0,6.84,85.16
14,"(1,4)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),2,12,0,6.91,84.98
15,"(7,6)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),2,13,0,6.93,85.25
16,"(7,6)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),2,14,0,7.0,85.39
17,"(1,2)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),2,15,0,7.08,85.29
18,"(1,2)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),2,16,0,7.08,85.27
19,"(8,3)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),2,17,0,7.1,85.23
20,"(8,3)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),2,18,0,7.12,85.36
