game,opening,x,o,winner,PUCT@768(cnn_c128b3_100k_reg_best)_wins,Gumbel@64(cnn_c128b3_100k_reg_best)_wins,draws,PUCT@768(cnn_c128b3_100k_reg_best)_ms_per_move,Gumbel@64(cnn_c128b3_100k_reg_best)_ms_per_move
1,"(1,5)",PUCT@768(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),0,1,0,86.48,161.42
2,"(1,5)",Gumbel@64(cnn_c128b3_100k_reg_best),PUCT@768(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),0,2,0,81.59,153.62
3,"(0,3)",PUCT@768(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),PUCT@768(cnn_c128b3_100k_reg_best),1,2,0,87.24,146.28
4,"(0,3)",Gumbel@64(cnn_c128b3_100k_reg_best),PUCT@768(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),1,3,0,94.34,146.33
5,"(3,8)",PUCT@768(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),1,4,0,99.31,146.36
6,"(3,8)",Gumbel@64(cnn_c128b3_100k_reg_best),PUCT@768(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),1,5,0,101.22,145.24
7,"(3,4)",PUCT@768(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),1,6,0,103.42,145.64
8,"(3,4)",Gumbel@64(cnn_c128b3_100k_reg_best),PUCT@768(cnn_c128b3_100k_reg_best),Draw,1,6,1,105.1,145.57
9,"(3,1)",PUCT@768(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),PUCT@768(cnn_c128b3_100k_reg_best),2,6,1,105.02,144.49
10,"(3,1)",Gumbel@64(cnn_c128b3_100k_reg_best),PUCT@768(cnn_c128b3_100k_reg_best),PUCT@768(cnn_c128b3_100k_reg_best),3,6,1,104.77,142.98
11,"(1,8)",PUCT@768(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),3,7,1,105.29,141.94
12,"(1,8)",Gumbel@64(cnn_c128b3_100k_reg_best),PUCT@768(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),3,8,1,105.58,141.54
13,"(1,4)",PUCT@768(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),3,9,1,107.03,142.74
14,"(1,4)",Gumbel@64(cnn_c128b3_100k_reg_best),PUCT@768(cnn_c128b3_100k_reg_best),Draw,3,9,2,107.65,144.52
15,"(7,6)",PUCT@768(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),Draw,3,9,3,106.67,142.35
16,"(7,6)",Gumbel@64(cnn_c128b3_100k_reg_best),PUCT@768(cnn_c128b3_100k_reg_best),Draw,3,9,4,105.62,140.86
17,"(1,2)",PUCT@768(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),3,10,4,105.18,139.86
18,"(1,2)",Gumbel@64(cnn_c128b3_100k_reg_best),PUCT@768(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),3,11,4,105.61,139.64
19,"(8,3)",PUCT@768(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),3,12,4,105.92,139.37
20,"(8,3)",Gumbel@64(cnn_c128b3_100k_reg_best),PUCT@768(cnn_c128b3_100k_reg_best),PUCT@768(cnn_c128b3_100k_reg_best),4,12,4,105.7,139.35
