game,opening,x,o,winner,PUCT@1024(cnn_c128b3_100k_reg_best)_wins,Gumbel@64(cnn_c128b3_100k_reg_best)_wins,draws,PUCT@1024(cnn_c128b3_100k_reg_best)_ms_per_move,Gumbel@64(cnn_c128b3_100k_reg_best)_ms_per_move
1,"(1,5)",PUCT@1024(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),0,1,0,92.76,112.71
2,"(1,5)",Gumbel@64(cnn_c128b3_100k_reg_best),PUCT@1024(cnn_c128b3_100k_reg_best),PUCT@1024(cnn_c128b3_100k_reg_best),1,1,0,86.91,117.53
3,"(0,3)",PUCT@1024(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),PUCT@1024(cnn_c128b3_100k_reg_best),2,1,0,98.14,123.33
4,"(0,3)",Gumbel@64(cnn_c128b3_100k_reg_best),PUCT@1024(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),2,2,0,104.39,125.08
5,"(3,8)",PUCT@1024(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),2,3,0,109.15,126.88
6,"(3,8)",Gumbel@64(cnn_c128b3_100k_reg_best),PUCT@1024(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),2,4,0,112.67,124.88
7,"(3,4)",PUCT@1024(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),PUCT@1024(cnn_c128b3_100k_reg_best),3,4,0,116.5,126.45
8,"(3,4)",Gumbel@64(cnn_c128b3_100k_reg_best),PUCT@1024(cnn_c128b3_100k_reg_best),PUCT@1024(cnn_c128b3_100k_reg_best),4,4,0,118.43,127.67
9,"(3,1)",PUCT@1024(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),Draw,4,4,1,119.31,127.2
10,"(3,1)",Gumbel@64(cnn_c128b3_100k_reg_best),PUCT@1024(cnn_c128b3_100k_reg_best),Draw,4,4,2,119.97,127.05
11,"(1,8)",PUCT@1024(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),4,5,2,121.49,128.73
12,"(1,8)",Gumbel@64(cnn_c128b3_100k_reg_best),PUCT@1024(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),4,6,2,122.27,128.28
13,"(1,4)",PUCT@1024(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),Draw,4,6,3,121.92,128.51
14,"(1,4)",Gumbel@64(cnn_c128b3_100k_reg_best),PUCT@1024(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),4,7,3,122.33,129.09
15,"(7,6)",PUCT@1024(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),4,8,3,122.36,128.84
16,"(7,6)",Gumbel@64(cnn_c128b3_100k_reg_best),PUCT@1024(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),4,9,3,122.91,128.69
17,"(1,2)",PUCT@1024(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),4,10,3,123.08,128.19
18,"(1,2)",Gumbel@64(cnn_c128b3_100k_reg_best),PUCT@1024(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),4,11,3,123.42,128.23
19,"(8,3)",PUCT@1024(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),PUCT@1024(cnn_c128b3_100k_reg_best),5,11,3,123.94,127.57
20,"(8,3)",Gumbel@64(cnn_c128b3_100k_reg_best),PUCT@1024(cnn_c128b3_100k_reg_best),Gumbel@64(cnn_c128b3_100k_reg_best),5,12,3,123.93,127.42
