iter,step,train_policy_loss,train_value_loss,val_policy_loss,val_value_loss,val_total_loss,steps_per_s,elapsed_s
0,150,2.91578,0.697142,2.44384,0.690792,2.6035,124.803,1.2019
1,300,2.35658,0.678665,2.26736,0.67889,2.49146,146.135,2.05289
2,450,2.18089,0.662164,2.10664,0.65939,2.3721,155.042,2.90243
3,600,2.10188,0.647022,2.09731,0.699065,2.44678,159.476,3.76232
4,750,2.08056,0.6215,2.08927,0.656104,2.35684,161.522,4.64333
5,900,2.0763,0.594322,2.08027,0.654866,2.34987,162.316,5.54473
6,1050,2.06731,0.569363,2.04922,0.613598,2.2518,163.504,6.42186
7,1200,2.06418,0.539952,2.08292,0.596084,2.23363,164.796,7.28175
8,1350,2.05691,0.509784,2.08124,0.557729,2.15608,165.566,8.15387
9,1500,2.0526,0.477947,2.06506,0.523677,2.07989,166.454,9.01152
