iter,step,train_policy_loss,train_value_loss,val_policy_loss,val_value_loss,val_total_loss,steps_per_s,elapsed_s
0,150,2.03108,0.79606,1.99668,0.706472,2.41128,12.2533,12.2416
1,300,2.00076,0.700782,2.00227,0.69286,2.38686,12.2512,24.4874
2,450,2.00488,0.694574,1.97103,0.677116,2.33975,12.2504,36.7336
3,600,2.00187,0.697365,2.00456,0.704205,2.41069,12.2537,48.9648
4,750,2.00104,0.686857,1.99645,0.683691,2.36561,12.2536,61.2067
5,900,2.00794,0.683987,2.007,0.699402,2.4023,12.2531,73.4508
6,1050,2.00533,0.691892,1.97588,0.712942,2.41382,12.2551,85.6788
7,1200,2.00523,0.68396,2.00736,0.684041,2.37176,12.2561,97.9103
8,1350,2.00224,0.674029,2.01491,0.672615,2.35269,12.2561,110.149
9,1500,2.00018,0.671562,2.00375,0.657481,2.31684,12.2544,122.405
